boxes,frame_index,class_label,bounding_box,confidence_score
259,0171,bottle,"[268.50335693359375, 1669.63232421875, 329.37164306640625, 1813.949462890625]",0.39670273661613464
260,0171,refrigerator,"[2888.18505859375, 927.129150390625, 3178.319091796875, 1814.953125]",0.3664867579936981
261,0172,person,"[1220.48828125, 802.2550048828125, 2196.95166015625, 2146.858154296875]",0.9438357353210449
262,0172,bottle,"[238.32485961914062, 1649.959716796875, 297.1117858886719, 1804.902099609375]",0.3659459948539734
263,0173,person,"[1358.156494140625, 798.2089233398438, 2365.015380859375, 2143.765625]",0.944710910320282
264,0174,person,"[1165.923583984375, 793.361572265625, 2194.466796875, 2145.5869140625]",0.9424541592597961
265,0174,bottle,"[220.3887176513672, 1656.45458984375, 277.56103515625, 1804.681640625]",0.2638421654701233
266,0175,person,"[1411.5208740234375, 789.92333984375, 2542.337158203125, 2145.177734375]",0.9431385397911072
267,0177,person,"[707.9053344726562, 722.2227783203125, 2101.755859375, 2146.09130859375]",0.9357434511184692
268,0178,person,"[664.4324340820312, 753.321533203125, 2427.740966796875, 2137.50927734375]",0.9587401151657104
269,0180,person,"[1305.720703125, 221.25238037109375, 2296.91943359375, 2130.1416015625]",0.8709233999252319
270,0182,person,"[1213.933349609375, 1139.076171875, 2704.552490234375, 2135.92529296875]",0.4734126031398773
271,0183,person,"[1775.2166748046875, 1327.470703125, 2936.501953125, 2141.81640625]",0.4501105546951294
272,0184,person,"[152.34576416015625, 817.0289306640625, 2866.117431640625, 2146.00390625]",0.7537372708320618
273,0185,person,"[706.34619140625, 190.44891357421875, 3149.654296875, 2071.571533203125]",0.6260475516319275
274,0185,person,"[199.0184326171875, 749.1527709960938, 1822.822265625, 2138.134765625]",0.27786490321159363
275,0186,person,"[67.81503295898438, 768.4656372070312, 1597.026123046875, 2143.33984375]",0.9326252937316895
276,0187,person,"[1133.0079345703125, 808.9017333984375, 3840.0, 2138.5498046875]",0.5708345770835876
277,0187,person,"[1121.621826171875, 562.4276733398438, 3387.65869140625, 2148.81494140625]",0.41306066513061523
278,0189,person,"[1158.6630859375, 760.8711547851562, 1939.3883056640625, 2134.460693359375]",0.806236743927002
279,0189,skateboard,"[1586.251220703125, 74.97711181640625, 3834.822265625, 2030.488037109375]",0.545272707939148
280,0190,person,"[2205.709716796875, 842.5750732421875, 3746.8671875, 2152.345703125]",0.9331772923469543
281,0191,person,"[1900.2176513671875, 816.8040161132812, 2771.7548828125, 2146.95166015625]",0.9284706711769104
282,0191,airplane,"[65.1331787109375, 0.0, 3840.0, 1214.3740234375]",0.5531420111656189
283,0192,person,"[927.7410278320312, 674.5299072265625, 1916.366455078125, 2146.7734375]",0.9389792680740356
284,0192,car,"[3036.7109375, 1004.8160400390625, 3837.908935546875, 1548.76025390625]",0.5859570503234863
285,0192,airplane,"[100.32220458984375, 0.0, 3837.1435546875, 1023.275390625]",0.5132022500038147
286,0192,car,"[3628.88232421875, 1144.34423828125, 3838.36328125, 1641.142822265625]",0.3728663921356201
287,0192,skateboard,"[3059.1962890625, 1467.298828125, 3669.724609375, 1694.405029296875]",0.3627500534057617
288,0193,person,"[2247.1455078125, 320.1101989746094, 3501.564697265625, 2132.080322265625]",0.8725565075874329
289,0194,person,"[2218.52490234375, 321.27410888671875, 3521.580078125, 2133.28662109375]",0.9157163500785828
290,0195,person,"[2448.224853515625, 185.39154052734375, 3748.14990234375, 2135.91455078125]",0.9512210488319397
291,0196,person,"[2544.731689453125, 172.83197021484375, 3838.01513671875, 2133.393310546875]",0.9547718167304993
292,0196,train,"[4.14971923828125, 7.445343017578125, 2976.4111328125, 2151.760986328125]",0.3829309642314911
293,0197,person,"[2508.57763671875, 276.00421142578125, 3776.5107421875, 2148.5224609375]",0.9530045390129089
294,0197,motorcycle,"[8.0980224609375, 10.9083251953125, 2981.7705078125, 2143.89794921875]",0.34930339455604553
295,0197,suitcase,"[2297.383544921875, 1102.563720703125, 2584.28466796875, 1370.020263671875]",0.30675068497657776
296,0198,person,"[2421.144287109375, 335.9736328125, 3541.3037109375, 2147.643798828125]",0.937443196773529
297,0199,motorcycle,"[35.4393310546875, 0.0, 3840.0, 2111.4921875]",0.5807219743728638
298,0200,person,"[3207.14111328125, 8.785308837890625, 3838.67822265625, 2085.8544921875]",0.7693554162979126
299,0200,motorcycle,"[0.0, 13.8350830078125, 3840.0, 2160.0]",0.3575942814350128
300,0201,person,"[2072.0439453125, 209.61126708984375, 3840.0, 2135.322265625]",0.9554800987243652
301,0202,person,"[2522.591552734375, 219.542724609375, 3655.121337890625, 2136.865234375]",0.9281435608863831
302,0203,person,"[2419.05712890625, 128.76150512695312, 3839.33154296875, 2136.627685546875]",0.944994330406189
303,0205,person,"[1939.99365234375, 389.06707763671875, 3272.365234375, 2135.708984375]",0.9395844340324402
304,0206,person,"[2510.275634765625, 248.24688720703125, 3656.458740234375, 2137.5615234375]",0.9425608515739441
305,0207,person,"[2426.61669921875, 307.0576171875, 3673.51220703125, 2136.303466796875]",0.9379310607910156
306,0208,person,"[2754.9462890625, 340.71807861328125, 3784.310302734375, 2148.641357421875]",0.9364537000656128
307,0209,person,"[2317.71728515625, 306.6009521484375, 3690.263671875, 2139.1904296875]",0.9425396919250488
308,0210,person,"[2224.327392578125, 308.16302490234375, 3551.99365234375, 2131.85498046875]",0.9289026856422424
309,0211,person,"[2490.25244140625, 326.234619140625, 3529.3271484375, 2136.501953125]",0.9215167760848999
310,0212,person,"[2461.5185546875, 232.518310546875, 3524.1689453125, 2131.967529296875]",0.9307058453559875
311,0213,person,"[2463.059326171875, 168.998291015625, 3490.061279296875, 2134.014404296875]",0.938440203666687
312,0214,person,"[2479.5830078125, 119.8773193359375, 3486.6328125, 2131.173583984375]",0.9429579973220825
313,0215,person,"[2448.787841796875, 169.8076171875, 3512.334228515625, 2132.8623046875]",0.9334341883659363
314,0216,person,"[2457.62744140625, 169.06961059570312, 3450.715576171875, 2135.7705078125]",0.9289075136184692
315,0217,person,"[2389.204833984375, 201.49566650390625, 3491.928955078125, 2123.38232421875]",0.9215279221534729
316,0218,person,"[2470.900390625, 141.78250122070312, 3544.859619140625, 2130.04345703125]",0.9121299386024475
317,0219,person,"[2479.552001953125, 149.33953857421875, 3707.044189453125, 2134.61181640625]",0.9455137252807617
318,0220,person,"[2638.095703125, 188.219970703125, 3572.20849609375, 2134.43212890625]",0.9273846745491028
319,0220,train,"[16.726318359375, 1.749298095703125, 2973.79296875, 2095.9873046875]",0.27187472581863403
320,0221,person,"[2639.5947265625, 182.31866455078125, 3690.224853515625, 2133.87744140625]",0.9343363046646118
321,0221,train,"[19.6728515625, 0.0, 2885.701171875, 2088.575927734375]",0.3531089723110199
322,0222,person,"[2487.6748046875, 224.90167236328125, 3549.41455078125, 2139.439208984375]",0.9379845857620239
323,0223,person,"[2582.73828125, 185.26318359375, 3491.802734375, 2140.992431640625]",0.9360681176185608
324,0224,person,"[2512.13671875, 247.7545166015625, 3416.013427734375, 2138.962890625]",0.9248833656311035
325,0225,car,"[793.7833251953125, 730.3609619140625, 2700.22021484375, 1643.0723876953125]",0.7715573906898499
326,0226,person,"[0.0, 10.75140380859375, 748.8211669921875, 1946.920166015625]",0.9405049085617065
327,0226,truck,"[935.6314086914062, 349.41510009765625, 2820.869140625, 1654.2579345703125]",0.6137966513633728
328,0226,car,"[935.6314086914062, 349.41510009765625, 2820.869140625, 1654.2579345703125]",0.2530706226825714
329,0227,person,"[1.037200927734375, 0.0, 594.18896484375, 1620.1666259765625]",0.8973483443260193
330,0227,truck,"[826.0946044921875, 151.84130859375, 3153.75, 1696.2982177734375]",0.7264133095741272
331,0227,car,"[826.0946044921875, 151.84130859375, 3153.75, 1696.2982177734375]",0.3187779188156128
332,0228,person,"[1281.5020751953125, 589.58154296875, 1765.87353515625, 2018.4027099609375]",0.9081518054008484
333,0228,truck,"[1973.326171875, 679.1244506835938, 3839.39892578125, 2129.9365234375]",0.7726538181304932
334,0228,umbrella,"[2.2933731079101562, 582.5179443359375, 386.2429504394531, 1028.3612060546875]",0.48342403769493103
335,0228,umbrella,"[907.7246704101562, 718.4240112304688, 1322.897216796875, 1123.32568359375]",0.3855876922607422
336,0229,person,"[805.0826416015625, 213.27520751953125, 2084.304931640625, 2140.19677734375]",0.95416259765625
337,0229,suitcase,"[108.2025146484375, 627.672607421875, 639.8076171875, 1116.245361328125]",0.4128613770008087
338,0229,truck,"[1455.2862548828125, 542.279296875, 3456.29296875, 2085.44873046875]",0.3838154077529907
339,0229,car,"[1455.2862548828125, 542.279296875, 3456.29296875, 2085.44873046875]",0.3139283061027527
340,0231,person,"[310.3369445800781, 313.740234375, 1227.9237060546875, 2143.689453125]",0.9428685307502747
341,0231,car,"[1454.044921875, 637.7990112304688, 3589.58203125, 2136.765625]",0.5467548966407776
342,0232,person,"[445.4959716796875, 127.14642333984375, 1378.7933349609375, 2140.881591796875]",0.9459874629974365
343,0232,truck,"[1637.3115234375, 526.4928588867188, 3840.0, 2118.45751953125]",0.7256231904029846
344,0233,truck,"[124.5626220703125, 92.3441162109375, 3818.3857421875, 2145.56640625]",0.5800312757492065
345,0233,car,"[124.5626220703125, 92.3441162109375, 3818.3857421875, 2145.56640625]",0.30161789059638977
346,0234,person,"[742.5987548828125, 522.7977294921875, 1542.3427734375, 2146.27587890625]",0.9311776757240295
347,0234,truck,"[2340.9697265625, 725.7703857421875, 3837.322998046875, 2136.94677734375]",0.6844444870948792
348,0234,car,"[2340.9697265625, 725.7703857421875, 3837.322998046875, 2136.94677734375]",0.36341649293899536
349,0235,person,"[872.6965942382812, 465.08843994140625, 1600.1357421875, 2150.274169921875]",0.9416453242301941
350,0235,truck,"[1716.53955078125, 673.0409545898438, 3524.46630859375, 2091.456298828125]",0.6440920233726501
351,0235,car,"[1716.53955078125, 673.0409545898438, 3524.46630859375, 2091.456298828125]",0.2889608144760132
352,0236,person,"[830.3534545898438, 485.3251647949219, 1786.8057861328125, 2146.26318359375]",0.9313885569572449
353,0236,truck,"[1684.5853271484375, 678.0240478515625, 3440.05517578125, 2083.712646484375]",0.757655143737793
354,0237,person,"[884.45849609375, 477.6343688964844, 1775.245849609375, 2141.18798828125]",0.937396764755249
355,0237,truck,"[1684.402587890625, 678.64453125, 3455.02001953125, 2081.966796875]",0.7185763120651245
356,0238,person,"[868.6124267578125, 472.738037109375, 1767.5965576171875, 2142.476806640625]",0.939389169216156
357,0238,truck,"[1678.023193359375, 670.35009765625, 3475.482421875, 2080.154296875]",0.7027243375778198
358,0239,person,"[880.6165771484375, 520.6724853515625, 1909.449462890625, 2144.5830078125]",0.9406377077102661
359,0239,car,"[1686.43798828125, 665.395751953125, 3441.07763671875, 2074.96337890625]",0.5115011930465698
360,0239,truck,"[1686.43798828125, 665.395751953125, 3441.07763671875, 2074.96337890625]",0.39324143528938293
361,0240,person,"[1203.5706787109375, 482.184814453125, 2099.51416015625, 2145.617431640625]",0.9255202412605286
362,0240,car,"[1718.74951171875, 670.2332763671875, 3442.87255859375, 2065.0703125]",0.5044349431991577
363,0240,truck,"[1718.74951171875, 670.2332763671875, 3442.87255859375, 2065.0703125]",0.45362982153892517
364,0241,person,"[578.5424194335938, 421.37860107421875, 1422.748291015625, 2151.4501953125]",0.9388850331306458
365,0241,car,"[1741.127197265625, 666.54296875, 3538.288330078125, 2078.516845703125]",0.5115814805030823
366,0241,truck,"[1741.127197265625, 666.54296875, 3538.288330078125, 2078.516845703125]",0.4177750051021576
367,0242,person,"[817.7655029296875, 445.32000732421875, 1628.4290771484375, 2143.54345703125]",0.9398964643478394
368,0242,truck,"[1400.317138671875, 670.3533935546875, 3384.71484375, 2136.6162109375]",0.5115483999252319
369,0242,car,"[1400.317138671875, 670.3533935546875, 3384.71484375, 2136.6162109375]",0.4404556453227997
370,0243,person,"[872.9840698242188, 491.17803955078125, 1622.671875, 2145.5849609375]",0.9368324875831604
371,0243,car,"[1303.866943359375, 673.7070922851562, 3183.79833984375, 2110.517333984375]",0.42200928926467896
372,0243,truck,"[1303.866943359375, 673.7070922851562, 3183.79833984375, 2110.517333984375]",0.4143291711807251
373,0244,person,"[3.557373046875, 8.482177734375, 1144.9508056640625, 2140.5810546875]",0.9521183371543884
374,0244,car,"[1484.37109375, 489.9663391113281, 3831.056396484375, 2137.033203125]",0.8854604363441467
375,0245,person,"[39.416290283203125, 257.586181640625, 1288.7109375, 2139.67724609375]",0.94638991355896
376,0245,car,"[1557.1710205078125, 650.188720703125, 3840.0, 2127.037109375]",0.6597025990486145
377,0245,truck,"[1557.1710205078125, 650.188720703125, 3840.0, 2127.037109375]",0.31872594356536865
378,0246,person,"[774.73974609375, 451.27587890625, 1481.4290771484375, 2153.90771484375]",0.939320981502533
379,0246,truck,"[1873.109619140625, 638.5909423828125, 3832.012939453125, 2107.26904296875]",0.7069423794746399
380,0246,car,"[1873.109619140625, 638.5909423828125, 3832.012939453125, 2107.26904296875]",0.26634421944618225
381,0247,person,"[1014.8662719726562, 428.9740905761719, 1766.086669921875, 2139.322509765625]",0.9173443913459778
382,0247,car,"[1611.09375, 598.7265014648438, 3832.78125, 2135.95458984375]",0.5252853631973267
383,0247,truck,"[1611.09375, 598.7265014648438, 3832.78125, 2135.95458984375]",0.4688393175601959
384,0249,person,"[1102.84765625, 362.570068359375, 1870.47509765625, 2145.522216796875]",0.9465711116790771
385,0249,car,"[1677.8536376953125, 609.7113647460938, 3835.1689453125, 2140.36572265625]",0.8095591068267822
386,0250,person,"[913.3560791015625, 385.1729736328125, 1948.078125, 2143.089599609375]",0.9248505234718323
387,0250,car,"[1316.30712890625, 582.59033203125, 3837.2197265625, 2139.26123046875]",0.7815013527870178
388,0250,handbag,"[1334.9061279296875, 1167.8001708984375, 1545.23583984375, 1651.193359375]",0.35963907837867737
389,0251,airplane,"[0.0, 0.0, 3768.849609375, 2153.5048828125]",0.8803709149360657
390,0252,person,"[0.32427978515625, 979.3515014648438, 1658.616455078125, 1536.6279296875]",0.7155641317367554
391,0252,car,"[435.3284912109375, 453.345458984375, 3830.4794921875, 2142.4306640625]",0.6756868958473206
392,0252,truck,"[435.3284912109375, 453.345458984375, 3830.4794921875, 2142.4306640625]",0.3042994439601898
393,0253,person,"[221.13771057128906, 335.13262939453125, 1327.43896484375, 2146.3408203125]",0.9507896900177002
394,0253,car,"[1731.4288330078125, 629.4951782226562, 3830.867431640625, 2135.97900390625]",0.9067153930664062
395,0254,person,"[191.05101013183594, 281.3588562011719, 1215.228515625, 2141.0458984375]",0.9540297389030457
396,0254,car,"[1403.6888427734375, 619.4188842773438, 3833.140869140625, 2139.968994140625]",0.645817220211029
397,0254,truck,"[1403.6888427734375, 619.4188842773438, 3833.140869140625, 2139.968994140625]",0.2912607491016388
398,0255,person,"[402.6324462890625, 363.45648193359375, 1296.748291015625, 2139.46728515625]",0.9452175498008728
399,0255,car,"[1194.0155029296875, 630.2254028320312, 3825.16796875, 2136.31396484375]",0.8521853089332581
400,0256,person,"[1106.746826171875, 270.5362243652344, 2150.523193359375, 2142.715576171875]",0.9230365753173828
401,0256,car,"[430.16290283203125, 576.1777954101562, 3727.81787109375, 2144.282958984375]",0.7070336937904358
402,0257,person,"[1009.4906616210938, 463.6322937011719, 1826.956787109375, 2141.07470703125]",0.9487636685371399
403,0257,car,"[543.850341796875, 582.2542724609375, 3840.0, 2145.661865234375]",0.6227567195892334
404,0258,person,"[296.59332275390625, 10.96875, 2539.03515625, 2143.287353515625]",0.9498608708381653
405,0258,car,"[24.04925537109375, 392.8026123046875, 3840.0, 2125.10986328125]",0.8237643837928772
406,0259,person,"[831.8212280273438, 324.3614501953125, 2346.5810546875, 2137.776123046875]",0.9521069526672363
407,0259,truck,"[1463.047607421875, 550.943359375, 3840.0, 2139.18994140625]",0.4644911587238312
408,0260,person,"[3.066375732421875, 3.6221923828125, 1732.875732421875, 2111.857421875]",0.95781010389328
409,0260,airplane,"[1031.84716796875, 186.33782958984375, 3840.0, 2121.8642578125]",0.7262765765190125
410,0261,person,"[1.96197509765625, 292.79913330078125, 566.6033935546875, 827.617431640625]",0.5643064975738525
411,0261,person,"[0.38124847412109375, 294.0000915527344, 575.0611572265625, 828.4879150390625]",0.5376076698303223
412,0261,car,"[106.74481201171875, 0.0, 3840.0, 2158.790771484375]",0.3260754644870758
413,0262,person,"[686.2530517578125, 464.1717224121094, 1383.10791015625, 2146.779052734375]",0.9435760378837585
414,0262,car,"[2029.83447265625, 579.242431640625, 3833.5390625, 2140.72900390625]",0.920706570148468
415,0263,person,"[1201.0982666015625, 465.1502380371094, 2170.97412109375, 2138.726806640625]",0.9433313608169556
416,0263,car,"[1799.202392578125, 456.45941162109375, 3834.38671875, 2130.0869140625]",0.5150932669639587
417,0263,truck,"[1799.202392578125, 456.45941162109375, 3834.38671875, 2130.0869140625]",0.2759826183319092
418,0264,person,"[735.798095703125, 11.00885009765625, 2210.540771484375, 2136.193359375]",0.9484499096870422
419,0264,truck,"[1138.857421875, 2.71710205078125, 3831.361083984375, 2138.8818359375]",0.5206917524337769
420,0265,car,"[14.621337890625, 0.0, 2814.6650390625, 2121.021484375]",0.6022361516952515
421,0266,car,"[643.690185546875, 0.0, 3778.893310546875, 2099.8525390625]",0.46578752994537354
422,0266,truck,"[643.690185546875, 0.0, 3778.893310546875, 2099.8525390625]",0.2647767961025238
423,0267,person,"[1193.2816162109375, 502.3904113769531, 1801.576171875, 2139.64990234375]",0.9290683269500732
424,0267,car,"[1664.648193359375, 574.9461669921875, 3831.5556640625, 2123.4091796875]",0.6364223957061768
425,0268,person,"[1318.3870849609375, 429.1679992675781, 2530.1318359375, 2139.88671875]",0.9505976438522339
426,0268,car,"[990.687744140625, 544.447021484375, 3837.66796875, 2143.622802734375]",0.8540439009666443
427,0269,person,"[951.7780151367188, 510.8800964355469, 1851.7978515625, 2137.864013671875]",0.9219187498092651
428,0269,car,"[1409.236572265625, 560.10302734375, 3840.0, 2118.021240234375]",0.8447641730308533
429,0270,person,"[662.9358520507812, 437.50579833984375, 1406.567626953125, 2151.35400390625]",0.9462409019470215
430,0270,car,"[1596.0831298828125, 550.8074951171875, 3834.03857421875, 2110.10693359375]",0.9285311102867126
431,0271,person,"[497.1258544921875, 463.5537414550781, 1301.79296875, 2146.82861328125]",0.9445210695266724
432,0271,car,"[1274.1470947265625, 548.8818359375, 3840.0, 2135.095947265625]",0.7831355929374695
433,0272,person,"[420.9088439941406, 337.2586669921875, 1281.131591796875, 2144.712646484375]",0.9558342695236206
434,0272,car,"[1606.8182373046875, 496.31622314453125, 3837.69970703125, 2133.0224609375]",0.8864569664001465
435,0273,person,"[1071.9835205078125, 539.3637084960938, 1829.537353515625, 2144.9404296875]",0.94789057970047
436,0273,car,"[2031.0516357421875, 502.1575927734375, 3835.19384765625, 2138.45166015625]",0.8527238965034485
437,0274,car,"[566.816650390625, 1151.7059326171875, 2026.85205078125, 1936.11328125]",0.8851073980331421
438,0274,person,"[834.5817260742188, 441.33709716796875, 1322.38916015625, 954.0657348632812]",0.8617448806762695
439,0274,car,"[2349.5400390625, 551.41650390625, 3839.262451171875, 2147.0458984375]",0.6971884965896606
440,0274,truck,"[2349.5400390625, 551.41650390625, 3839.262451171875, 2147.0458984375]",0.3231441378593445
441,0275,person,"[1007.373291015625, 517.6700439453125, 1575.9393310546875, 2131.48876953125]",0.9314560294151306
442,0275,car,"[2151.5498046875, 546.8248901367188, 3840.0, 2141.72509765625]",0.824705958366394
443,0276,suitcase,"[1565.183837890625, 11.01397705078125, 3840.0, 2131.6884765625]",0.3835001587867737
444,0277,person,"[0.0, 261.58447265625, 1858.61865234375, 2144.11474609375]",0.9594452381134033
445,0277,suitcase,"[1890.341552734375, 430.018798828125, 3834.065185546875, 2129.5498046875]",0.28536513447761536
446,0278,person,"[724.6754150390625, 415.651611328125, 1890.11279296875, 2142.82666015625]",0.9373008012771606
447,0278,car,"[1760.9208984375, 515.2260131835938, 3838.310302734375, 2136.4892578125]",0.5642058253288269
448,0279,person,"[1.3133010864257812, 0.0, 1045.892333984375, 2160.0]",0.861592710018158
449,0279,car,"[657.7774658203125, 413.1273193359375, 3508.247314453125, 2120.736328125]",0.7291470170021057
450,0279,car,"[3113.36279296875, 806.840087890625, 3836.299072265625, 1302.16845703125]",0.6436084508895874
451,0279,car,"[3107.140625, 804.0031127929688, 3840.0, 1310.40380859375]",0.39009982347488403
452,0279,truck,"[3519.6142578125, 608.965087890625, 3836.429443359375, 991.0836181640625]",0.3358205556869507
453,0280,person,"[560.336669921875, 451.1507263183594, 1664.77294921875, 2146.810546875]",0.9460791945457458
454,0280,car,"[1921.1533203125, 517.8482666015625, 3836.39306640625, 2143.9599609375]",0.7788719534873962
455,0281,person,"[1179.53955078125, 373.36724853515625, 1939.844970703125, 2140.4921875]",0.9246688485145569
456,0281,car,"[1731.7972412109375, 428.3580322265625, 3837.01123046875, 2135.348876953125]",0.5446691513061523
457,0283,person,"[170.31436157226562, 395.74053955078125, 1213.914306640625, 2149.46142578125]",0.9506041407585144
458,0283,car,"[1742.197265625, 500.2437744140625, 3839.073486328125, 2133.29638671875]",0.8462725281715393
459,0284,person,"[629.357177734375, 450.56085205078125, 1302.876220703125, 2138.14697265625]",0.9328953623771667
460,0285,person,"[1053.525146484375, 576.154052734375, 1800.2449951171875, 2134.65380859375]",0.9244413375854492
461,0285,car,"[1434.257568359375, 554.5772094726562, 3840.0, 2130.87109375]",0.4208759367465973
462,0286,person,"[263.16241455078125, 12.601043701171875, 1623.7327880859375, 2131.095703125]",0.9442484378814697
463,0286,car,"[822.906005859375, 12.4346923828125, 3836.5810546875, 2129.726806640625]",0.4250180125236511
464,0286,car,"[0.0, 0.0, 3804.37646484375, 2132.74560546875]",0.3307185471057892
465,0286,person,"[2656.8095703125, 159.99853515625, 2983.943359375, 491.86029052734375]",0.3300545811653137
466,0287,person,"[2.9163436889648438, 804.5216064453125, 636.64453125, 1361.64306640625]",0.5118188261985779
467,0288,person,"[584.84912109375, 321.5105895996094, 2236.69677734375, 2140.168212890625]",0.9508365392684937
468,0288,car,"[984.8935546875, 5.270599365234375, 3840.0, 2136.26708984375]",0.344996839761734
469,0289,person,"[520.9725952148438, 99.0970458984375, 2790.367431640625, 2147.08447265625]",0.8210026025772095
470,0289,car,"[185.93756103515625, 17.74566650390625, 3384.82763671875, 2138.68603515625]",0.3670281171798706
471,0290,car,"[102.35943603515625, 10.30206298828125, 3840.0, 2149.85205078125]",0.25807392597198486
472,0291,person,"[732.314697265625, 209.98013305664062, 1792.283203125, 2137.443359375]",0.9428699016571045
473,0292,person,"[604.103759765625, 268.11749267578125, 1775.413818359375, 2133.625732421875]",0.9437713623046875
474,0292,train,"[20.9747314453125, 0.0, 3776.253662109375, 2034.669921875]",0.320040225982666
475,0293,oven,"[0.0, 15.72802734375, 3838.8134765625, 2143.53271484375]",0.6682321429252625
476,0294,person,"[344.6248779296875, 10.01458740234375, 2010.4830322265625, 2137.836669921875]",0.944744884967804
477,0294,car,"[610.6138916015625, 3.105010986328125, 3840.0, 2160.0]",0.5583295822143555
478,0294,truck,"[610.6138916015625, 3.105010986328125, 3840.0, 2160.0]",0.3001871407032013
479,0295,person,"[521.26611328125, 184.13131713867188, 2112.95947265625, 2134.70458984375]",0.9509760141372681
480,0295,car,"[324.8353271484375, 0.35614013671875, 3720.286376953125, 2153.38818359375]",0.5655232071876526
481,0295,person,"[2361.305908203125, 652.93115234375, 2673.319580078125, 930.6871337890625]",0.2736614942550659
482,0296,person,"[5.0937652587890625, 292.40606689453125, 1664.1705322265625, 2138.88525390625]",0.9564530849456787
483,0296,car,"[1531.708251953125, 13.328704833984375, 3840.0, 2123.841796875]",0.5224931836128235
484,0297,person,"[704.0619506835938, 381.84283447265625, 1539.1036376953125, 2143.70751953125]",0.9460219144821167
485,0297,car,"[2202.52880859375, 324.94024658203125, 3840.0, 2127.9970703125]",0.6424020528793335
486,0298,person,"[903.3645629882812, 320.84454345703125, 1916.26171875, 2145.78857421875]",0.9432927370071411
487,0298,car,"[3115.380859375, 763.4384765625, 3838.708740234375, 2143.41015625]",0.44081950187683105
488,0299,person,"[922.795166015625, 363.623291015625, 1851.1025390625, 2143.90576171875]",0.9420289993286133
489,0299,car,"[2048.988037109375, 282.07525634765625, 3835.13232421875, 2133.6220703125]",0.7430214285850525
490,0299,truck,"[2048.988037109375, 282.07525634765625, 3835.13232421875, 2133.6220703125]",0.31293052434921265
491,0300,person,"[609.2138061523438, 320.83905029296875, 1551.320068359375, 2144.8837890625]",0.9475739598274231
492,0300,car,"[2069.93359375, 519.979248046875, 3833.466796875, 2130.388916015625]",0.7169129848480225
493,0300,truck,"[2069.93359375, 519.979248046875, 3833.466796875, 2130.388916015625]",0.30155885219573975
494,0300,suitcase,"[381.421142578125, 1011.9241333007812, 618.3381958007812, 1284.8233642578125]",0.25453847646713257
495,0301,person,"[862.5671997070312, 272.15130615234375, 1782.938232421875, 2137.52392578125]",0.9363255500793457
496,0301,car,"[1610.78173828125, 570.1598510742188, 3571.6748046875, 2016.59375]",0.5977566838264465
497,0301,truck,"[1610.78173828125, 570.1598510742188, 3571.6748046875, 2016.59375]",0.3900693953037262
498,0303,person,"[736.27587890625, 456.0103454589844, 1462.833740234375, 2155.291259765625]",0.9374606609344482
499,0303,truck,"[1479.045166015625, 682.0567626953125, 3398.2822265625, 2098.09765625]",0.6104944944381714
500,0303,car,"[1479.045166015625, 682.0567626953125, 3398.2822265625, 2098.09765625]",0.38707131147384644
501,0304,person,"[1154.047607421875, 490.8870849609375, 1801.460205078125, 2139.686767578125]",0.9273459315299988
502,0304,car,"[1595.212890625, 679.7279663085938, 3394.61962890625, 2095.83642578125]",0.4809545874595642
503,0304,truck,"[1595.212890625, 679.7279663085938, 3394.61962890625, 2095.83642578125]",0.4798447787761688
504,0305,person,"[739.7333984375, 456.4852294921875, 1514.59912109375, 2150.6240234375]",0.9333630800247192
505,0305,truck,"[1462.654541015625, 683.5696411132812, 3381.7744140625, 2096.072509765625]",0.5254306197166443
506,0305,car,"[1462.654541015625, 683.5696411132812, 3381.7744140625, 2096.072509765625]",0.46782347559928894
507,0306,person,"[1150.4959716796875, 462.6076354980469, 1721.316650390625, 2146.728515625]",0.9178481698036194
508,0306,car,"[1616.422607421875, 681.923583984375, 3412.447998046875, 2096.6396484375]",0.5375366806983948
509,0306,truck,"[1616.422607421875, 681.923583984375, 3412.447998046875, 2096.6396484375]",0.5013251304626465
510,0307,person,"[871.2142333984375, 472.17535400390625, 1582.441650390625, 2150.01416015625]",0.9332666993141174
511,0307,truck,"[1510.8348388671875, 685.1113891601562, 3435.195556640625, 2101.2783203125]",0.570709228515625
512,0307,car,"[1510.8348388671875, 685.1113891601562, 3435.195556640625, 2101.2783203125]",0.44820502400398254
513,0308,person,"[841.138916015625, 444.61614990234375, 1573.701171875, 2149.092041015625]",0.9419503808021545
514,0308,car,"[1528.16455078125, 686.5559692382812, 3450.13916015625, 2100.013671875]",0.6170246601104736
515,0308,truck,"[1528.16455078125, 686.5559692382812, 3450.13916015625, 2100.013671875]",0.4315764307975769
516,0309,person,"[1101.530029296875, 480.9345703125, 1825.371337890625, 2146.8466796875]",0.9336166381835938
517,0309,truck,"[1612.739013671875, 686.685302734375, 3455.78466796875, 2100.3662109375]",0.5273792743682861
518,0309,car,"[1612.739013671875, 686.685302734375, 3455.78466796875, 2100.3662109375]",0.42069417238235474
519,0310,person,"[779.6031494140625, 522.8751220703125, 1628.009521484375, 2150.20458984375]",0.9337025880813599
520,0310,truck,"[1514.05859375, 686.4841918945312, 3430.80224609375, 2101.472900390625]",0.5423491597175598
521,0310,car,"[1514.05859375, 686.4841918945312, 3430.80224609375, 2101.472900390625]",0.4822421371936798
